Biometric_PAX_Scanned,Successful_Biometric_Flight_Indicator,Eligible_Biometric_DEP_PAX_Indicator,Eligible_Biometric_Flight_Indicator,DOM_INTL_Indicator,new_start_date_date_format,Total_DEP_Pax,Gate_Ref,host_carrier_code,flight_number,scheduled_departure_station_code,departure_station_code,scheduled_arrival_station_code,scheduled_departure_date_local,scheduled_departure_time_local,actual_departure_date_local,departure_gate,completed_flight_indicator,new_Gate_Ref,new_Start_Date,BCR,%_Eligible_Flights,Usage_on_Eligible_Flights,BCR_on_Eligible_Flights,Max_achievable_BCR,Flight_Saturation
300,1,348,1,INTL,2021-01-02,348,SFOG12,UA,871,SFO,SFO,TPE,2023-04-07,14:00,2023-04-07,G12,1,SFOG12,2021-01-02,0.86206897,1.0,1.0,0.86206897,1.0,1.0
210,1,226,1,INTL,2021-01-02,226,SFOG9,UA,948,SFO,SFO,LHR,2023-04-06,16:00,2023-04-06,G9,1,SFOG9,2021-01-02,0.92920354,1.0,1.0,0.92920354,1.0,1.0
2,1,223,1,INTL,2021-01-02,223,SFOG13,UA,1,SFO,SFO,SIN,2023-04-02,22:45,2023-04-02,G13,1,SFOG13,2021-01-02,0.00896861,1.0,1.0,0.00896861,1.0,1.0
245,1,255,1,INTL,2021-01-02,255,SFOG10,UA,893,SFO,SFO,ICN,2023-04-08,10:35,2023-04-08,G10,1,SFOG10,2021-01-02,0.96078431,1.0,1.0,0.96078431,1.0,1.0
136,1,275,1,INTL,2021-01-02,275,SFOG12,UA,875,SFO,SFO,HND,2023-04-07,10:45,2023-04-07,G12,1,SFOG12,2021-01-02,0.49454545,1.0,1.0,0.49454545,1.0,1.0
210,1,230,1,INTL,2021-01-02,230,SFOG6,UA,29,SFO,SFO,SIN,2023-04-06,10:50,2023-04-06,G6,1,SFOG6,2021-01-02,0.91304348,1.0,1.0,0.91304348,1.0,1.0
325,1,340,1,INTL,2021-01-02,340,SFOG12,UA,871,SFO,SFO,TPE,2023-04-03,14:00,2023-04-03,G12,1,SFOG12,2021-01-02,0.95588235,1.0,1.0,0.95588235,1.0,1.0
217,1,198,1,INTL,2021-01-02,198,SFOG5,UA,863,SFO,SFO,SYD,2023-04-04,22:45,2023-04-04,G5,1,SFOG5,2021-01-02,1.0959596,1.0,1.0,1.0959596,1.0,1.0
165,1,245,1,INTL,2021-01-02,245,SFOG6,UA,990,SFO,SFO,CDG,2023-04-06,14:35,2023-04-06,G6,1,SFOG6,2021-01-02,0.67346939,1.0,1.0,0.67346939,1.0,1.0
0,0,0,0,INTL,,163,SFOE2,UA,1164,SFO,SFO,YYZ,2023-04-02,22:56,2023-04-02,E2,1,,,0.0,0.0,,,0.0,0.0
0,0,146,1,INTL,2021-01-02,146,SFOG11,UA,460,SFO,SFO,YVR,2023-04-07,18:27,2023-04-07,G11,1,SFOG11,2021-01-02,0.0,1.0,0.0,0.0,1.0,0.0
135,1,173,1,INTL,2021-01-02,173,SFOG2,UA,926,SFO,SFO,FRA,2023-04-04,19:10,2023-04-04,G2,1,SFOG2,2021-01-02,0.78034682,1.0,1.0,0.78034682,1.0,1.0
0,0,0,0,INTL,,179,SFOF2,UA,1679,SFO,SFO,CUN,2023-04-08,08:45,2023-04-08,F2,1,,,0.0,0.0,,,0.0,0.0
118,1,139,1,INTL,2021-01-02,139,SFOG4,UA,194,SFO,SFO,MUC,2023-04-04,13:25,2023-04-04,G4,1,SFOG4,2021-01-02,0.84892086,1.0,1.0,0.84892086,1.0,1.0
0,0,0,0,INTL,,118,SFOE8,UA,2051,SFO,SFO,YVR,2023-04-07,10:40,2023-04-07,E8,1,,,0.0,0.0,,,0.0,0.0
114,1,124,1,INTL,2021-01-02,124,SFOG3,UA,968,SFO,SFO,AMS,2023-04-03,14:35,2023-04-03,G3,1,SFOG3,2021-01-02,0.91935484,1.0,1.0,0.91935484,1.0,1.0
204,1,222,1,INTL,2021-01-02,222,SFOG1,UA,1,SFO,SFO,SIN,2023-04-08,22:45,2023-04-08,G1,1,SFOG1,2021-01-02,0.91891892,1.0,1.0,0.91891892,1.0,1.0
106,1,214,1,INTL,2021-01-02,214,SFOG1,UA,948,SFO,SFO,LHR,2023-04-08,16:00,2023-04-08,G1,1,SFOG1,2021-01-02,0.4953271,1.0,1.0,0.4953271,1.0,1.0
297,1,339,1,INTL,2021-01-02,339,SFOG9,UA,857,SFO,SFO,PVG,2023-04-05,12:55,2023-04-05,G9,1,SFOG9,2021-01-02,0.87610619,1.0,1.0,0.87610619,1.0,1.0
178,1,205,1,INTL,2021-01-02,205,SFOG4,UA,930,SFO,SFO,LHR,2023-04-05,19:50,2023-04-05,G4,1,SFOG4,2021-01-02,0.86829268,1.0,1.0,0.86829268,1.0,1.0
206,1,222,1,INTL,2021-01-02,222,SFOG7,UA,29,SFO,SFO,SIN,2023-04-08,10:50,2023-04-08,G7,1,SFOG7,2021-01-02,0.92792793,1.0,1.0,0.92792793,1.0,1.0
154,1,255,1,INTL,2021-01-02,255,SFOG10,UA,863,SFO,SFO,SYD,2023-04-06,22:45,2023-04-06,G10,1,SFOG10,2021-01-02,0.60392157,1.0,1.0,0.60392157,1.0,1.0
78,1,275,1,INTL,2021-01-02,275,SFOG10,UA,926,SFO,SFO,FRA,2023-04-06,19:10,2023-04-06,G10,1,SFOG10,2021-01-02,0.28363636,1.0,1.0,0.28363636,1.0,1.0
0,0,0,0,INTL,,172,SFOF2,UA,1679,SFO,SFO,CUN,2023-04-03,08:45,2023-04-03,F2,1,,,0.0,0.0,,,0.0,0.0
1,1,175,1,INTL,2021-01-02,175,SFOG7,UA,863,SFO,SFO,SYD,2023-04-07,22:45,2023-04-08,G7,1,SFOG7,2021-01-02,0.00571429,1.0,1.0,0.00571429,1.0,1.0
0,0,0,0,INTL,,56,SFOF4,UA,821,SFO,SFO,MEX,2023-04-04,13:12,2023-04-04,F4,1,,,0.0,0.0,,,0.0,0.0
0,0,0,0,INTL,,157,SFOF20,UA,784,SFO,SFO,YVR,2023-04-02,08:30,2023-04-02,F20,1,,,0.0,0.0,,,0.0,0.0
0,0,0,0,INTL,,149,SFOF2,UA,1189,SFO,SFO,SJD,2023-04-07,09:05,2023-04-07,F2,1,,,0.0,0.0,,,0.0,0.0
0,0,0,0,INTL,,68,SFOF7,UA,5546,SFO,SFO,YYC,2023-04-05,10:55,2023-04-05,F7,1,,,0.0,0.0,,,0.0,0.0
201,1,248,1,INTL,2021-01-02,248,SFOG10,UA,930,SFO,SFO,LHR,2023-04-07,19:50,2023-04-07,G10,1,SFOG10,2021-01-02,0.81048387,1.0,1.0,0.81048387,1.0,1.0
0,0,0,0,INTL,,148,SFOE13,UA,1212,SFO,SFO,PVR,2023-04-06,08:40,2023-04-06,E13,1,,,0.0,0.0,,,0.0,0.0
77,1,94,1,INTL,2021-01-02,94,SFOG7,UA,948,SFO,SFO,LHR,2023-04-04,16:00,2023-04-04,G7,1,SFOG7,2021-01-02,0.81914894,1.0,1.0,0.81914894,1.0,1.0
0,0,0,0,INTL,,134,SFOF4,UA,460,SFO,SFO,YVR,2023-04-08,18:27,2023-04-08,F4,1,,,0.0,0.0,,,0.0,0.0
254,1,272,1,INTL,2021-01-02,272,SFOG4,UA,837,SFO,SFO,NRT,2023-04-07,11:35,2023-04-07,G4,1,SFOG4,2021-01-02,0.93382353,1.0,1.0,0.93382353,1.0,1.0
0,0,0,0,INTL,,118,SFOF16,UA,583,SFO,SFO,YVR,2023-04-02,10:40,2023-04-02,F16,1,,,0.0,0.0,,,0.0,0.0
0,0,0,0,INTL,,162,SFOF12,UA,784,SFO,SFO,YVR,2023-04-06,08:30,2023-04-06,F12,1,,,0.0,0.0,,,0.0,0.0
0,0,0,0,INTL,,164,SFOF2,UA,1542,SFO,SFO,YVR,2023-04-05,14:00,2023-04-05,F2,1,,,0.0,0.0,,,0.0,0.0
